03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
28-Sep-13 - Matchday 10		Banfield	2-0 	Patronato		Vigliano, P
28-Sep-13		Tall. Cba	2-2 	Indepte		Pezzotta
29-Sep-13		AlteBrown	0-0 	S.M. SJ		Lamolina, N
29-Sep-13		Union	3-2 	Ferro		Herrera
29-Sep-13		S. Carlos	1-3 	Instituto		López, R
29-Sep-13		Sp.Belgr	2-0 	D.Haig		Giannini
29-Sep-13		Crucero	2-0 	Gsia.Jujuy		Tello
29-Sep-13		Atl. Tuc	2-0 	Aldosivi		Córdoba
29-Sep-13		Indp Rvia	0-0 	B. Unidos		Merlos
30-Sep-13		Huracan	0-1 	Brown		Penel
30-Sep-13		Sarmiento	2-4 	Def y Jus		Baliño
05-Oct-13 - Matchday 11		Brown	0-1 	Banfield		González, M
05-Oct-13		Aldosivi	0-1 	Indp Rvia		Lamolina, N
05-Oct-13		Ferro	0-1 	AlteBrown		Giannini
06-Oct-13		D.Haig	0-0 	Atl. Tuc		Díaz, P
06-Oct-13		Patronato	2-2 	S. Carlos		Castro, A
06-Oct-13		Gsia.Jujuy	2-1 	Sp.Belgr		Paletta
06-Oct-13		B. Unidos	0-0 	Huracan		Trucco
06-Oct-13		S.M. SJ	1-1 	Crucero		Espinoza, F
07-Oct-13		Instituto	2-1 	Sarmiento		Suarez
07-Oct-13		Def y Jus	1-3 	Tall. Cba		Vigliano, P
12-Oct-13 - Matchday 12		Huracan	4-1 	Aldosivi		Suarez
12-Oct-13		AlteBrown	1-0 	Indepte		Trucco
13-Oct-13		Sarmiento	0-2 	Patronato		Lamolina, N
13-Oct-13		Banfield	3-0 	B. Unidos		Díaz, P
13-Oct-13		Gsia.Jujuy	0-0 	D.Haig		Espinoza, F
13-Oct-13		Sp.Belgr	0-0 	S.M. SJ		Tello
13-Oct-13		Crucero	2-0 	Ferro		Penel
13-Oct-13		Indp Rvia	2-0 	Atl. Tuc		López, R
14-Oct-13		Union	3-1 	Def y Jus		Argañaraz
14-Oct-13		Tall. Cba	1-2 	Instituto		Castro, A
15-Oct-13		S. Carlos	1-2 	Brown		Sabino
19-Oct-13 - Matchday 13		Indepte	2-1 	Crucero		Baliño
19-Oct-13		Aldosivi	0-3 	Banfield		Castro, A
19-Oct-13		Instituto	1-3 	Union		Giannini
20-Oct-13		B. Unidos	3-0 	S. Carlos		Paletta
