03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
24-May-14 - Matchday 40		AlteBrown	2-0 	Atl. Tuc		Paletta
24-May-14		Ferro	1-0 	Instituto		Giannini
24-May-14		Indepte	2-1 	Def y Jus		Trucco
24-May-14		Sarmiento	0-0 	Banfield		Castro, A
25-May-14		Crucero	1-1 	Aldosivi		Espinoza, F
25-May-14		Gsia.Jujuy	2-0 	Brown		Díaz, P
25-May-14		S.M. SJ	0-2 	Patronato		Baliño
25-May-14		Union	1-1 	Indp Rvia		Beligoy
25-May-14		Sp.Belgr	1-0 	B. Unidos		González, M
26-May-14		S. Carlos	0-2 	D.Haig		Merlos
26-May-14		Tall. Cba	0-0 	Huracan		Ceballos, D
31-May-14 - Matchday 41		D.Haig	4-1 	Def y Jus		Beligoy
31-May-14		Brown	1-2 	S.M. SJ		Echenique
31-May-14		B. Unidos	1-1 	Gsia.Jujuy		Castro, A
31-May-14		Aldosivi	0-0 	Sp.Belgr		Merlos
31-May-14		Indp Rvia	1-0 	AlteBrown		Penel
31-May-14		S. Carlos	1-3 	Sarmiento		Bocca
31-May-14		Banfield	2-1 	Tall. Cba		Baliño
01-Jun-14		Huracan	1-0 	Union		Delfino
01-Jun-14		Instituto	1-2 	Indepte		Loustau, P
01-Jun-14		Patronato	0-0 	Ferro		Ejarque
01-Jun-14		Atl. Tuc	1-0 	Crucero		Guaymas
06-Jun-14 - Matchday 42		Tall. Cba	3-2 	S. Carlos		López, R
06-Jun-14		Union	1-1 	Banfield		Lamolina, N
06-Jun-14		Sarmiento	1-0 	D.Haig		Argañaraz
06-Jun-14		Def y Jus	1-0 	Instituto		Baliño
06-Jun-14		S.M. SJ	2-0 	B. Unidos		Lobo Medina
06-Jun-14		Crucero	2-1 	Indp Rvia		Giannini
08-Jun-14		Ferro	1-0 	Brown		Ceballos, D
08-Jun-14		Indepte	0-0 	Patronato		Vigliano, M
08-Jun-14		Gsia.Jujuy	3-1 	Aldosivi		Herrera
08-Jun-14		AlteBrown	0-1 	Huracan		Alvarez, L
08-Jun-14		Sp.Belgr	0-1 	Atl. Tuc		Espinoza, F
